11 Alder Court, ATHERSTONE
2 Union Square, County Durham
277A Upper St, London
35 Clermiston Rd, Edinburgh
3SQUARED Restaurant, Manchester
4Degrees Craft Bar & Restaurant, Maidstone
512 London, London
563-565 Warwick Rd
7-9 North St David St, Edinburgh
AE Driver Training and Recruitment Ltd, Northampton
Abingdon Rugby Football Club, Abingdon
Accrington Library, Accrington
Active Business Centre, Bury St Edmunds
Adcote School, Little Ness
Advantage House, Lichfield
Aintree Racecourse, Liverpool
Aldgate East Station, London
All Saints Centre, Sutton Coldfield
Armadeli, Stroud
Artist's studio, London
Artlink Hull, Hull
Ashfield Park Primary School, Ross-on-Wye
Aureus School, Harwell
Badminton School, Bristol
Ballie Ballerson, London
Balmaise Community Centre, Leven
Banff Springs Hotel, Banff
Banff and Buchan Room, Annexe, Aberdeen
Bar Brig, Edinburgh
Bar Salento, London
Barking Town Hall, Barking
Barnby Road Academy Primary and Nursery School, Nottinghamshire
Barnoldswick Library, Barnoldswick
Barons Court Theatre, London
Bashall Barn Ltd, Clitheroe
Bath, Bath
Be Positive - Edinburgh, Edinburgh
Beach Blanket Babylon, London
Beachcomber Holiday Park & Entertainment Centre, Cleethorpes
Beacon Arts Centre,  Inverclyde
Beeston Manor, Preston
Belmont House, Stockport
Benjamin Franklin House, London
Berwick Baptist Church, Berwick upon Tweed
Best Western Bradford Guide Post Hotel, Bradford
Best Western Marks Tey Hotel, Marks Tey
Best Western Reading Calcot Hotel      RG31 7QN, Calcot
Best Western The Hatfield Hotel, Lowestoft
Birmingham, Birmingham
Bishopthorpe Palace, YORK
Broadstairs College, Broadstairs
Bromsgrove School, Bromsgrove
Burley Manor Hotel, Burley
Burton Health Education Centre, Burton-upon-Trent
CG76, Middlesex University London, London
CR4 3JR, Mitcham
Cambridge Regional College, Huntingdon Campus, Huntingdon
Cannock, Hednesford
Cardiff Ski and Snowboard Centre, Cardiff
Carmilite Priory, Oxford
Carrbridge Hotel, Carrbridge
Castle Park, Bristol
Catterick Racecourse, Richmond
Cecil Sharp House, London
Cedar Hall, Southampton
Central Exchange 360, North Shields, Tyne & Wear
Central London, London
Charing Cross Hospital (Stop HA), London
Charlton House, London
Cheam Common Junior Academy
Cheshire Conference and Events, Stockport
China Fleet Country Club, Saltash
Christ Church URC, London
Churchill House (Atrium + 002 + 005 - ground floor)
Churchill House (CCU 007)
Churnet Valley Railway 1992 plc, Stoke-on-Trent
Ciara Regan Hairdressing, Mullingar
Circus Tavern, Purfleet
Cissbury Barns, Worthing
Clarendon Hall, Twickenham
Club Reina, London
Coalport House, Telford
Concrete Space, London
Conference House, Edinburgh
Conference Suite (First Floor) AT7 Leisure Centre, Coventry
Copenhagen Primary School, London
Cotswold Academy, Cirencester
County Hall, Comms A
Coventry, Coventry
Cranmore Park, Solihull
Cromwell Room, Winchester
Crosslee Community Primary School, Manchester
Cuddington Croft Primary School, Sutton
Cumberwell Park Golf Club, Bradford on Avon
Customs House, South Shileds
DUSA | The Union, Dundee
Daventry Leisure Centre, Daventry
De Rougemont Manor, Great Warley
Derby County Football Club, Derby
Dharmavajra Kadampa Buddhist Centre, Uplands
DoubleTree by Hilton Hotel & Spa Liverpool, Liverpool
Dovecot Studios Ltd, Edinburgh
Drake House, London
Duldzin Dragpa Kadampa Buddhist Centre, Epping
Dumbuck Hotel, Dumbarton
EN2 0JA, Enfield
EPOK Artists' Studios & Gallery, Stockport
Earl Stonham Village Hall, Forward Green
Easton & Otley College - Easton Campus, Norwich
Easton & Otley College - Otley Campus, Nr Ipswich
Edinburgh, Edinburgh
Education Centre (Dept 17), Manchester
Electric Mountain, Llanberis
Elsewhere, Margate
Empress Ballroom, Winter Gardens, Blackpool
Endcliffe Park, Sheffield
Esher Rugby Football Club, Walton-on-Thames
Events at Bradford City FC, Bradford
Family Action Head Office, London
Family Action, London
Fenwick Newcastle, Newcastle upon Tyne
Fenwick, Newcastle upon Tyne
Festival Pier, London
Fifty Five Bar, London
Fontwell Park Racing & Events, Fontwell
Friends House, London
Grange Tower Bridge Hotel, London
Green Park Conference Centre, Reading
Greenacre, Merstham
Greenwood Park Community Centre, St Albans
Greenwood Park Community Centre, St Albans, St Albansy
Gym Squared, Manchester
Hadlow Manor Hotel, Tonbridge
Halifax Hall Hotel, Sheffield
Hamlets Training Centre, London
Hammersmith Hospital, London
Hanover Place
Hanwell Wine Estate, Hickling Pastures
Hartshill Hayes Country Park, Nuneaton
Hatherley Manor, Gloucester
Haven Green Baptist Church, London
Haverstock School, London
Health In Mind, Edinburgh
Hello Print Studio, Margate
Hertford Corn Exchange, Hertford
Hideaway Jazz Club, London
Higher Lane Primary School, Manchester
Holiday Inn Dumfries, Dumfries
Holiday Inn Ellesmere Port - Cheshire Oaks, Ellesmere Port
Holiday Inn Ellesmere Port/ Cheshire Oaks, Ellesmere Port
Holroyd Arms, Guildford
Holy Trinity Church, Macclesfield
Hotel Pelirocco, Brighton
Hullabaloo Jungle Play, Shepton Mallet
Hythe Imperial Hotel, Hythe
Ice Maiden Cakes Ltd, Yeovil
Ignite Church Community Hub, Birchwood
Insight Healthcare Calderdale, Halifax
Inspire Building, Aberdeen
King's College London, London
Knebworth Barns Conference and Banqueting Centre, Knebworth
LLC - London's Late Club, London
Leeds City College, Leeds
Leeds Print Workshop, Leeds
Lenwade House Hotel, Lenwade
Lenwade House, Lenwade
Liberton High School, Edinburgh
Library London, London
Lifetime Therapy, Truro
Lift, London
Livability , London
Liverpool Innovation Park, Liverpool
London Bridge, London
London Institute of Banking & Finance, London
London, London
Louis Fitzgerald Hotel, Clondalkin
Louise Body's Studio, St Leonards On Sea
Lyndhurst Community Centre, Lyndhurst
Lyric Hammersmith, London
Lysis Academy, London
Malmaison, Liverpool
Marketing Clinic, York
Marsham Court Hotel, Bournemouth, Bournemouth
Mcloughlins Bar, Dublin
Medbourne Pavilion, MILTON KEYNES
Mercure Bewdley The Heath Hotel, Bewdley
Mercure Bolton Georgian House Hotel, Blackrod
Mercure Bradford Bankfield Hotel, Bingley
Mercure Gloucester Bowden Hall Hotel, Upton St. Leonards
Mercure Hull Grange Park Hotel, Willerby
Mercure Leeds Parkway Hotel, Leeds
Mercure York Fairfield Manor Hotel, York
Miusan, London
Morecambe Road School, Lancashire
Moss Valley Woodlands Nature Reserve, Sheffield
Mystery Location
Netherstowe House, Lichfield
New College Durham, Durham
Newham African Caribbean Resource Centre, London
Nicholson Building, Liverpool
No 4 Clifton Village, Bristol
Northampton Marriott Hotel, Northhampton
Norton House Hotel & Spa, Ingliston
Norton Priory Museum & Gardens, Manor Park
OX11 7JN, Didcot
OX4 3LF, Oxford
Obus Wellness Centre, Leixlip
Oldham College, Oldham
Openshaw Campus, Manchester
Oscar's, Calverton
PRYZM, Plymouth, Plymouth
Park Inn by Radisson Bedford Hotel, Bedford
Park Inn by Radisson Harlow
Park Lane Suites, Bury
Park Plaza County Hall, London
Parklands Leisure Centre, Oadby
Parliament Bar, Nottingham
Parsons Building, Newcastle College, Newcastle upon Tyne
Pearl & Feather Pub, London
People First Conference Centre
Peter House (Regus Offices), Manchester
Peterborough Cathedral, Peterborough
Peterborough Museum, Peterborough
Pine Cones Childrens Centre , Bedford
Pittodrie Stadium, Aberdeen
Pontardawe Jubilee Club & Institute Ltd, Pontardawe
Prestbury Sports Bar, Warminster
Quay Place, Ipswich
Queen Charlotte Hall, Richmond
Quy Mill Hotel &amp; Spa, Stow cum Quy
Rainton Meadows Arena, Houghton le Spring
Rannoch Adventure, Burnham-on-Crouch
Rathbone Training, Bolton
Regus Trafalgar Square, London
Restoration Yard Dalkeith, EDINBURGH
Revolution Liverpool Albert Dock, Liverpool
Ripon Community House, Ripon
Riva Lounge, Formby
Riverford Field Kitchen - Organic Restaurant, Buckfastleigh
Riverside Suite Venue 360, Luton
Roadhouse, London
Rook Lane Chapel, Frome
Room : TBC, London
Room TBC, London
Royal Brompton Clinical Skills Centre, London
Rugby, Rugby
SAE Institute Glasgow, Glasgow
SAE Institute Liverpool, Liverpool
SAE Institute London, London
SG7 6NG, Baldock
SL7 1QZ, Marlow
SOAS University of London, London
STFC Rutherford Appleton Laboratory, Didcot
Sadler's Wells Theatre, London
Salt Bar, Cardiff
Saltburn Community Theatre, Saltburn-by-the-Sea
Salvus House, County Durham
Saray Fine Dining Turkish Restaurant
Sharleen Collins Academy, Dublin 2
Sheffield Wednesday Football Club, Sheffield
Shelter Club, London
Shepwell Green Social Club, Willenhall
Sherman Education Centre, 4th Floor Southwark Wing, London
Silicon Croft, Kilchoan
Silversoles Studio, Birmingham
South Essex College, Southend-on-Sea
Southend Adult Community College, Southend-on-Sea
Southwark Diocesan Board Of Education, London
Space Studio, Manchester
Spaces, Crossway, Birmingham
Spaces, London
Spencer Hotel Dublin City, Dublin
St Andrew's Community Church, Craven Arms
St Barnabas Church, Beckenham
St Columba's Church by the Castle, Edinburgh
St John's Church Centre, Hartford
St John's College, Oxford
St Joseph's Church Hall, Bristol
St Lukes Church Centre, Norwich
St Mary's Hospital, London
St Mary-le-Bow Church, London
St Nicholas' Church Hall, Oxford
Stage Two, Norwich
Stewart House, London
Stoke Prior Sports & Country Club, Bromsgrove
Stonehouse Court Hotel, Stonehouse
Store First, Ellesmere Port
Stowmarket Parish Church, Stowmarket
Stratford Arts Trust, London
Stratton Park House, Swindon
Sturmer Hall, Sturmer
Sunnybank Nature Reserve, Sheffield
Surrey County Council, Consort House, LG1, Redhill
Sutton, Surrey
Sutton, Sutton, Surrey
TBC
THINQTANQ, Plymouth
Tapton Hall, Sheffield
Tapton Hall, Tapton Hall
Thainstone Exchange, Inverurie
The  Wesley Hotel and Conference Centre, London
The Acoustic Couch Community Centre CIC, Bracknell
The Albany, London
The Alexander Centre, Faversham
The Angus Hotel, Blairgowrie and Rattray
The Arienas Collective, Edinburgh
The Art House, Wakefield
The Assembly House, Norwich
The Athenaeum, Bury St Edmunds
The Beacon Arts Centre,  Inverclyde
The Bridge Cafe, London
The Buchanan Arms Hotel, Drymen
The Castle, Widnes
The Civic Centre, Ardrossan
The Craft House, Shipley
The Crown & Sandys, Worcestershire
The Culcheth Arms, Culcheth
The Deveronside, Banff
The Dew Drop Inn, Oxford
The Dudson Centre, Stoke-on-Trent
The Dumbuck House Hotel, Dumbarton
The Exchange, Keighley, Keighley
The Golden Fleece, London
The Goosebarn, Falmouth
The Graffiti Tunnel, London
The Guardian, London
The Hub, Hazelwell, Birmingham
The Hub, Westhoughton
The Institution of Structural Engineers, London
The Junction, Goole
The Kensington Hotel (Townhouse), London
The Library Private Members Club, London
The Lighthouse, London
The Monks Walk, Beverley
The Nottingham Belfry Hotel, Nottingham
The Nursery Theatre, London
The P.T Barn, Corringham
The Point, home of darts (Doncaster Community Arts), Doncaster
The Prince of Wales School, Dorchester
The Queens, Leeds
The Red House, Albrighton
The Rosemary Hungarian Restaurant,       , London
